err,data
5.9190027698301796e-5,0.00019024248750512107
1.5700841497876062e-5,7.391276663994371e-5
6.641924932554969e-6,4.261252890607883e-5
3.825516391363154e-6,2.22965965139283e-5
2.5629412534236097e-6,2.176880112868429e-5
2.812147665103611e-5,8.240734039668606e-5
1.0528663640406045e-5,8.421314587773898e-5
5.191310963786672e-6,2.6585137640401017e-5
2.9144764792293775e-6,2.6033426315289483e-5
1.9271936692692165e-6,1.6202481595102046e-5
1.3716506591748843e-6,1.3310988829992239e-5
1.0370491890120577e-6,1.0699346577168782e-5
8.301593237601538e-7,7.686133839717875e-6
1.5360890107161445e-5,7.178033503523848e-5
7.415154091615656e-6,3.281044713467789e-5
3.776072367256511e-6,2.892679459938269e-5
2.402394882797661e-6,1.966699071385577e-5
1.5301222830401752e-6,1.2097203503298844e-5
1.105148423784711e-6,8.650066204853462e-6
8.517641895026218e-7,8.147366954956386e-6
6.574127659721207e-7,5.583100817047434e-6
5.166340111696028e-7,6.8691457802514295e-6
3.9055767108169976e-7,4.6606171863288675e-6
1.2937485582707461e-5,3.7994144117651626e-5
7.387696715219742e-6,5.5021601181051325e-5
3.990520456741991e-6,2.7401971986859923e-5
2.6345772000335286e-6,1.5235064677812242e-5
1.8727851490875086e-6,1.4976571710274611e-5
1.3190294425099791e-6,1.0228074477527087e-5
1.0223792845731397e-6,9.597006766384104e-6
8.453294024774817e-7,7.742413500198074e-6
6.610250919668298e-7,5.84493608578815e-6
4.982616771694486e-7,5.680432872958117e-6
3.9210670168866815e-7,4.097917823554746e-6
1.226156186479752e-5,2.3448960721994197e-5
7.371723962232008e-6,2.9187846323293534e-5
4.525227174841578e-6,2.571469730442923e-5
3.1417141273923575e-6,1.720793463317388e-5
2.4641363804751364e-6,1.876041365219758e-5
1.962134895702405e-6,1.1858834397319835e-5
1.5841731776660466e-6,6.023987322753388e-6
1.3565884770589455e-6,3.4894299563905405e-6
1.1599301737223918e-6,7.420152296134288e-6
9.355380485279378e-7,4.729410691534381e-6
7.605939546170424e-7,4.317808418665961e-6
6.395998540453826e-7,4.736098712055406e-6
5.30597251656752e-7,2.545509196409628e-6
